tr_id;tr_name;art_id;art_name
6717894;I Made It (Cash Money Heroes);133173;Kevin Rudolf
6717894;I Made It (Cash Money Heroes);14919;Birdman
6717894;I Made It (Cash Money Heroes);15507;Jay Sean
6717894;I Made It (Cash Money Heroes);74309;Lil Wayne
134347064;Westside Bound 3;253278;Saba
134347064;Westside Bound 3;10462199;Joseph Chilliams
108608192;Shadows;5568377;Michael Christmas
136395616;2 AM;186408;Rapsody
136395616;2 AM;1155002;Ab-Soul
715572602;Bang;9749880;Conway the Machine
715572602;Bang;13;Eminem
7988084;Hello Good Morning;312102;Diddy - Dirty Money
7988084;Hello Good Morning;2527;T.I.
894170712;Don't Slack (from Trolls World Tour);6474027;Anderson .Paak
894170712;Don't Slack (from Trolls World Tour);1147;Justin Timberlake
137833945;Neighbors;339209;J. Cole
141433455;Jump Out The Window;15427;Big Sean
5727577;Sparkles;300024;Shabazz Palaces
85567898;Hunnid Stax (feat. ScHoolboy Q);1155002;Ab-Soul
85567898;Hunnid Stax (feat. ScHoolboy Q);1057597;Schoolboy Q
85508152;Ballin (feat. Bow Wow);1057598;Black Hippy
85508152;Ballin (feat. Bow Wow);525046;Kendrick Lamar
85508152;Ballin (feat. Bow Wow);1155002;Ab-Soul
85508152;Ballin (feat. Bow Wow);265914;Jay Rock
85508152;Ballin (feat. Bow Wow);1057597;Schoolboy Q
85508152;Ballin (feat. Bow Wow);268;Bow Wow
72686185;Old Friend;655913;Hopsin
13797408;Can I Live;1052232;Casey Veggies
99317508;The Greatest;1162615;Futuristic
138202245;Legend Has It;5312529;Run The Jewels
14301659;Who Do I Catch;431004;Tech N9NE Collabos
135674972;Money Showers;3813;Fat Joe
135674972;Money Showers;155312;Remy Ma
135674972;Money Showers;4438587;Ty Dolla $ign
128458661;Savage Mode;6853403;21 Savage
128458661;Savage Mode;4968870;Metro Boomin
14508340;Skitzo;519941;Jarren Benton
74791099;Ronnie Drake (feat. SZA);5515551;Isaiah Rashad
533802002;What's the Use?;632926;MAC MILLER
1379216492;I Won;4438587;Ty Dolla $ign
1379216492;I Won;9093938;Jack Harlow
1379216492;I Won;13878655;24kgoldn
1089687712;Lemonade (Remix);15104399;Internet money
1089687712;Lemonade (Remix);13631667;Don Toliver
1089687712;Lemonade (Remix);13594287;Roddy Ricch
1068853152;Wolves;15427;Big Sean
1068853152;Wolves;7543848;Post Malone
